名称,PLC地址,数剧类型,功能
缓存线各个电机货物目的地,DB1000.DBW1900-1960,INT,"DBW1900：01021A电机
DBW1902：01021B电机
DBW1904：01022A电机
DBW1906：01022B电机
DBW1908：01023A电机
DBW1910：01023B电机
DBW1912：01024A电机
DBW1914：01024B电机
DBW1916：01026电机
DBW1918：01027电机
DBW1920：01029电机
DBW1922：01030电机
DBW1924：备用
DBW1926：备用
DBW1928：备用
DBW1930：备用
DBW1932：备用
DBW1934：备用
DBW1936：备用
DBW1938：备用
DBW1940：备用
DBW1942：备用
DBW1944：备用
DBW1946：备用
DBW1948：备用
DBW1950：备用
DBW1952：备用
DBW1954：备用
DBW1956：备用
DBW1958：备用
DBW1960：备用
"
1\2#灭菌线线电机货物目的地,DB1000.DBW860-938,INT,"DBW860：02009电机
DBW862：02011电机
DBW864：02012电机
DBW866：02014电机
DBW868：02015电机
DBW870：02016电机
DBW872：02018电机
DBW874：02019电机
DBW876：02021电机
DBW878：02022电机
DBW880：02023电机
DBW882：02025电机
DBW884：02026电机
DBW886：02028电机 
DBW888：02029电机
DBW890：02030电机
DBW892：02032电机
DBW894：02033电机
DBW896：02035电机
DBW898：02036电机
DBW900：备用
DBW902：备用
DBW904：备用
DBW906：备用
DBW908：备用
DBW910：备用
DBW912：备用
DVW914：备用
DBW916：备用
DBW918：备用
DBW920：备用
DBW922：备用
DBW924：备用
DBW926：备用
DBW928：备用
DBW930：备用"
3\4#灭菌线线电机货物目的地,DB1000.DBW940-1008,INT,"DBW940：03009电机
DBW942：03011电机
DBW944：03012电机
DBW946：03014电机
DBW948：03015电机
DBW950：03016电机
DBW952：03018电机
DVW954：03019电机
DBW956：03021电机
DBW958：03022电机
DBW960：03023电机
DBW962：03025电机
DBW964：03026电机
DBW966：03028电机
DBW968：03029电机
DBW970：03030电机
DBW972：03032电机
DBW974：03033电机
DBW976：03035电机
DBW978：03036电机
DBW980：备用
DBW982：备用
DBW984：备用
DBW986：备用
DBW988：备用
DBW990：备用
DBW992：备用
DBW994：备用
DBW996：备用
DBW998：备用
DBW1000：备用
DBW1002：备用
DBW1004：备用
DBW1006：备用
DBW1008：备用
DBW1010：备用"
5\6#灭菌线线电机货物目的地,DB1000.DBW1020-1098,INT,"DBW1020：04009电机
DBW1022：04011电机
DBW1024：04012电机
DBW1026：04014电机
DBW1028：04015电机                                                                                                                                                                DBW1030：04016电机
DBW1032：04018电机
DBW1034：04019电机
DBW1036：04021电机
DBW1038：04022电机
DBW1040：04023电机
DBW1042：04025电机
DBW1044：04026电机
DBW1046：04028电机
DBW1048：04029电机
DBW1050：04030电机
DBW1052：04032电机
DBW1054：04033电机
DBW1056：04035电机
DBW1058：04036电机
DBW1060：备用
DBW1062：备用
DBW1064：备用
DBW1066：备用
DBW1068：备用
DBW1070：备用
DBW1072：备用
DBW1074：备用
DBW1076：备用
DBW1078：备用
DBW1080：备用
DBW1082：备用
DBW1084：备用
DBW1086：备用
DBW1088：备用
DBW1090：备用"
7\8#灭菌线线电机货物目的地,DB1000.DBW1100-1178,INT,"DBW1100：05009电机
DBW1102：05011电机
DBW1104：05012电机
DBW1106：05014电机
DBW1108：05015电机
DBW1110：05016电机
DBW1112：05018电机
DBW1114：05019电机
DBW1116：05021电机
DBW1118：05022电机
DBW1120：05023电机
DBW1122：05025电机
DBW1124：05026电机
DBW1126：05028电机
DBW1128：05029电机
DBW1130：05030电机
DBW1132：05032电机
DBW1134：05033电机
DBW1136：05035电机
DBW1138：05036电机
DBW1140：备用
DBW1142：备用
DBW1144：备用
DBW1146：备用
DBW1148：备用
DBW1150：备用
DBW1152：备用
DBW1154：备用
DBW1156：备用
DBW1158：备用
DBW1160：备用
DBW1162：备用
DBW1164：备用
DBW1166：备用
DBW1168：备用
DBW1170：备用"
9\10#灭菌线线电机货物目的地,DB1000.DBW1180-1258,INT,"DBW1180：06009电机
DBW1182：06011电机
DBW1184：06012电机
DBW1186：06014电机
DBW1188：06015电机
DBW1190：06016电机
DBW1192：06018电机
DBW1194：06019电机
DBW1196：06021电机
DBW1198：06022电机
DBW1200：06023电机
DBW1202：06025电机
DBW1204：06026电机
DBW1206：06028电机
DBW1208：06029电机
DBW1210：06030电机
DBW1212：06032电机
DBW1214：06033电机
DBW1216：06035电机
DBW1218：06036电机
DBW1220：备用
DBW1222：备用
DBW1224：备用
DBW1226：备用
DBW1228：备用
DBW1230：备用
DBW1232：备用
DBW1234：备用
DBW1236：备用
DBW1238：备用
DBW1240：备用
DBW1242：备用
DBW1244：备用
DBW1246：备用
DBW1248：备用
DBW1250：备用"
11\12#灭菌线线电机货物目的地,DB1000.DBW1260-1338,INT,"DBW1260：07009电机
DBW1262：07011电机
DBW1264：07012电机
DBW1266：07014电机
DBW1268：07015电机
DBW1270：07016电机
DBW1272：07018电机
DBW1274：07019电机
DBW1276：07021电机
DBW1278：07022电机
DBW1280：07023电机
DBW1282：07025电机
DBW1284：07026电机
DBW1286：07028电机
DBW1288：07029电机
DBW1290：07030电机
DBW1292：07032电机
DBW1294：07033电机
DBW1296：07035电机
DBW1298：07036电机
DBW1300：备用
DBW1302：备用
DBW1304：备用
DBW1306：备用
DBW1308：备用
DBW1310：备用
DBW1312：备用
DBW1314：备用
DBW1316：备用
DBW1318：备用
DBW1320：备用
DBW1322：备用
DBW1324：备用
DBW1326：备用
DBW1328：备用
DBW1330：备用"
13\14#灭菌线线电机货物目的地,DB1000.DBW1340-1418,INT,"DBW1340：08009电机
DBW1342：08011电机
DBW1344：08012电机
DBW1346：08014电机
DBW1348：08015电机
DBW1350：08016电机
DBW1352：08018电机
DBW1354：08019电机
DBW1356：08021电机
DBW1358：08022电机
DBW1360：08023电机
DBW1362：08025电机
DBW1364：08026电机
DBW1366：08028电机
DBW1368：08029电机
DBW1370：08030电机
DBW1372：08032电机
DBW1374：08033电机
DBW1376：08035电机
DBW1378：08036电机
DBW1380：备用
DBW1382：备用
DBW1384：备用
DBW1386：备用
DBW1388：备用
DBW1390：备用
DBW1392：备用
DBW1394：备用
DBW1396：备用
DBW1398：备用
DBW1400：备用
DBW1402：备用
DBW1404：备用
DBW1406：备用
DBW1408：备用
DBW1410：备用"
15#灭菌线和出口线电机货物目的地,DB1000.DBW1420-1498,INT,"DBW1420：09005电机
DBW1422：09007电机
DBW1424：09008电机
DBW1426：09010电机
DBW1428：09011电机
DBW1430：09012电机
DBW1432：09014电机
DBW1434：09015电机
DBW1436：09017电机
DBW1438：09018电机
DBW1440：09020电机
DBW1442：09021电机
DBW1444：09023电机
DBW1446：09024电机
DBW1448：09025电机
DBW1450：09026电机
DBW1452：09027电机
DBW1454：09028电机
DBW1456：09029电机
DBW1458：09030电机
DBW1460：09031电机 
DBW1462：09032电机
DBW1464：09033电机
DBW1466：09035电机
DBW1468：09036电机
DBW1470：09038电机
DBW1472：09039电机
DBW1474：备用
DBW1476：备用
DBW1478：备用
DBW1480：备用
DBW1482：备用
DBW1484：备用
DBW1486：备用
DBW1488：备用
DBW1490：备用
DBW1492：备用
DBW1494：备用
DBW1496：备用"
1-15预热柜内实际数量,"DB1000.DBW1500~
DB1000.DBW1528",INT,"DBW1500：预热柜1内实际数量
DBW1502：预热柜2内实际数量
DBW1504：预热柜3内实际数量
DBW1506：预热柜4内实际数量
DBW1508：预热柜5内实际数量
DBW1510：预热柜6内实际数量
DBW1512：预热柜7内实际数量
DBW1514：预热柜8内实际数量
DBW1516：预热柜9内实际数量
DBW1518：预热柜10内实际数量
DBW1520：预热柜11内实际数量 
DBW1522：预热柜12内实际数量
DBW1524：预热柜13内实际数量
DBW1526：预热柜14内实际数量
DBW1528：预热柜15内实际数量"
1-15灭菌柜内实际数量,"DB1000.DBW1530~
DB1000.DBW1558",INT,"DBW1530：灭菌柜1内实际数量
DBW1532：灭菌柜2内实际数量
DBW1534：灭菌柜3内实际数量
DBW1536：灭菌柜4内实际数量
DBW1538：灭菌柜5内实际数量
DBW1540：灭菌柜6内实际数量
DBW1542：灭菌柜7内实际数量
DBW1544：灭菌柜8内实际数量
DBW1546：灭菌柜9内实际数量
DBW1548：灭菌柜10内实际数量
DBW1550：灭菌柜11内实际数量
DBW1552：灭菌柜12内实际数量
DBW1554：灭菌柜13内实际数量
DBW1556：灭菌柜14内实际数量
DBW1558：灭菌柜15内实际数量"
缓存线传感器信号-1,DB1000.DBW1606,WORD ,"BIT 0：SP_01001
BIT 1：SP-01002
BIT 2：SP_01004
BIT 3：SP_01005
BIT 4：SP_01006
BIT 5：SP_01009
BIT 6：SP_01011
BIT 7：SP_01012
BIT 8：SP_01013-1
BIR 9：SP_01013-2
BIT 10：SP_01014
BIT 11：SP_01015
BIT 12：SP_01016
BIT 13：SP_01017
BIR 14：SP_01018      
BIT 15：SP_01019-1                                                                            "
缓存线传感器信号-2,DB1000.DBW1608,WORD ,"BIT 0：SP_01019-2
BIT 1：SP_01020
BIT 2：SP_01021
BIT 3：SP_01022
BIT 4：SP_01023
BIT 5：SP_01024
BIT 6：SP_01027
BIT 7：SP_01030
BIT 8：备用
BIR 9：备用
BIT 10：备用
BIT 11：备用
BIT 12：备用
BIT 13：备用
BIR 14：备用
BIT 15：备用                                                                          "
1\2#灭菌线线传感器信号--1,DB1000.DBW1610,WORD ,"BIT 0：SP_02001-1
BIT 1：SP_02001-2
BIT 2：SP_02002-1
BIT 3：SP_02002-2
BIT 4：SP_02003-1
BIT 5：SP_02003-2
BIT 6：SP_02004-1
BIT 7：SP_02004-2
BIT 8：SP_02009
BIR 9：SP_02011
BIT 10：SP_02014
BIT 11：SP_02016
BIT 12：SP_02018
BIT 13：SP_02021
BIR 14：SP_02023-1
BIT 15：SP_02023-2                                                                     "
1\2#灭菌线线传感器信号--2,DB1000.DBW1612,WORD ,"BIT 0：SP_02025-1
BIT 1：SP_02025-2
BIT 2：SP_02028-1
BIT 3：SP_02028-2
BIT 4：SP_02030-1
BIT 5：SP_02030-2
BIT 6：SP_02032-1
BIT 7：SP_02032-2
BIT 8：SP_02035-1
BIR 9：SP_02035-2
BIT 10：备用
BIT 11：备用
BIT 12：备用
BIT 13：备用
BIR 14：备用
BIT 15：备用                                                                         "
1\2#灭菌线线传感器信号--3,DB1000.DBW1614,WORD ,"BIT 0：备用
BIT 1：备用
BIT 2：备用
BIT 3：备用
BIT 4：备用
BIT 5：备用
BIT 6：备用
BIT 7：备用
BIT 8：备用
BIR 9：备用
BIT 10：备用
BIT 11：备用
BIT 12：备用
BIT 13：备用
BIR 14：备用
BIT 15：备用                                                                         "
3\4#灭菌线线电机运行信号--1,DB1000.DBW16W16,WORD ,"BIT 0：SP_03001-1
BIT 1：SP_03001-2
BIT 2：SP_03002-1
BIT 3：SP_03002-2
BIT 4：SP_03003-1
BIT 5：SP_03003-2
BIT 6：SP_03004-1
BIT 7：SP_03004-2
BIT 8：SP_03009
BIR 9：SP_03011
BIT 10：SP_03014
BIT 11：SP_03016
BIT 12：SP_03018
BIT 13：SP_03021
BIR 14：SP_03023-1
BIT 15：SP_03023-2                                                                        "
3\4#灭菌线线传感器信号--2,DB1000.DBW1618,WORD ,"BIT 0：SP_03025-1
BIT 1：SP_03025-2
BIT 2：SP_03028-1
BIT 3：SP_03028-2
BIT 4：SP_03030-1
BIT 5：SP_03030-2
BIT 6：SP_03032-1
BIT 7：SP_03032-2
BIT 8：SP_03035-1
BIR 9：SP_03035-2
BIT 10：备用
BIT 11：备用
BIT 12：备用
BIT 13：备用
BIR 14：备用
BIT 15：备用                                                                          "
3\4#灭菌线线传感器信号--3,DB1000.DBW1620,WORD ,"BIT 0：备用
BIT 1：备用
BIT 2：备用
BIT 3：备用
BIT 4：备用
BIT 5：备用
BIT 6：备用
BIT 7：备用
BIT 8：备用
BIR 9：备用
BIT 10：备用
BIT 11：备用
BIT 12：备用
BIT 13：备用
BIR 14：备用
BIT 15：备用                                                                           "
5\6#灭菌线线传感器信号--1,DB1000.DBW1622,WORD ,"BIT 0：SP_04001-1
BIT 1：SP_04001-2
BIT 2：SP_04002-1
BIT 3：SP_04002-2
BIT 4：SP_04003-1
BIT 5：SP_04003-2
BIT 6：SP_04004-1
BIT 7：SP_04004-2
BIT 8：SP_04009
BIR 9：SP_04011
BIT 10：SP_04014
BIT 11：SP_04016
BIT 12：SP_04018
BIT 13：SP_04021
BIR 14：SP_04023-1
BIT 15：SP_04023-2                                                                            "
5\6#灭菌线线传感器信号--2,DB1000.DBW1624,WORD ,"BIT 0：SP_04025-1
BIT 1：SP_04025-2
BIT 2：SP_04028-1
BIT 3：SP_04028-2
BIT 4：SP_04030-1
BIT 5：SP_04030-2
BIT 6：SP_04032-1
BIT 7：SP_04032-2
BIT 8：SP_04035-1
BIR 9：SP_04035-2
BIT 10：备用
BIT 11：备用
BIT 12：备用
BIT 13：备用
BIR 14：备用
BIT 15：备用                                                                          "
5\6#灭菌线线传感器信号--3,DB1000.DBW1626,WORD ,"BIT 0：备用
BIT 1：备用
BIT 2：备用
BIT 3：备用
BIT 4：备用
BIT 5：备用
BIT 6：备用
BIT 7：备用
BIT 8：备用
BIR 9：备用
BIT 10：备用
BIT 11：备用
BIT 12：备用
BIT 13：备用
BIR 14：备用
BIT 15：备用                                                                         "
7\8#灭菌线线传感器信号--1,DB1000.DBW1628,WORD ,"BIT 0：SP_05001-1
BIT 1：SP_05001-2
BIT 2：SP_05002-1
BIT 3：SP_05002-2
BIT 4：SP_05003-1
BIT 5：SP_05003-2
BIT 6：SP_05004-1
BIT 7：SP_05004-2
BIT 8：SP_05009
BIR 9：SP_05011
BIT 10：SP_05014
BIT 11：SP_05016
BIT 12：SP_05018
BIT 13：SP_05021
BIR 14：SP_05023-1
BIT 15：SP_05023-2                                                                         "
7\8#灭菌线线传感器信号--2,DB1000.DBW1630,WORD ,"BIT 0：SP_05025-1
BIT 1：SP_05025-2
BIT 2：SP_05028-1
BIT 3：SP_05028-2
BIT 4：SP_05030-1
BIT 5：SP_05030-2
BIT 6：SP_05032-1
BIT 7：SP_05032-2
BIT 8：SP_05035-1
BIR 9：SP_05035-2
BIT 10：备用
BIT 11：备用
BIT 12：备用
BIT 13：备用
BIR 14：备用
BIT 15：备用                                                                           "
7\8#灭菌线线传感器信号--3,DB1000.DBW1632,WORD ,"BIT 0：备用
BIT 1：备用
BIT 2：备用
BIT 3：备用
BIT 4：备用
BIT 5：备用
BIT 6：备用
BIT 7：备用
BIT 8：备用
BIR 9：备用
BIT 10：备用
BIT 11：备用
BIT 12：备用
BIT 13：备用
BIR 14：备用
BIT 15：备用                                                                      "
9\10#灭菌线线传感器信号--1,DB1000.DBW1634,WORD ,"BIT 0：SP_06001-1
BIT 1：SP_06001-2
BIT 2：SP_06002-1
BIT 3：SP_06002-2
BIT 4：SP_06003-1
BIT 5：SP_06003-2
BIT 6：SP_06004-1
BIT 7：SP_06004-2
BIT 8：SP_06009
BIR 9：SP_06011
BIT 10：SP_06014
BIT 11：SP_06016
BIT 12：SP_06018
BIT 13：SP_06021
BIR 14：SP_06023-1
BIT 15：SP_06023-2                                                                          "
9\10#灭菌线线传感器信号--2,DB1000.DBW1636,WORD ,"BIT 0：SP_06025-1
BIT 1：SP_06025-2
BIT 2：SP_06028-1
BIT 3：SP_06028-2
BIT 4：SP_06030-1
BIT 5：SP_06030-2
BIT 6：SP_06032-1
BIT 7：SP_06032-2
BIT 8：SP_06035-1
BIR 9：SP_06035-2
BIT 10：备用
BIT 11：备用
BIT 12：备用
BIT 13：备用
BIR 14：备用
BIT 15：备用                                                                       "
9\10#灭菌线线传感器信号--3,DB1000.DBW1638,WORD ,"BIT 0：备用
BIT 1：备用
BIT 2：备用
BIT 3：备用
BIT 4：备用
BIT 5：备用
BIT 6：备用
BIT 7：备用
BIT 8：备用
BIR 9：备用
BIT 10：备用
BIT 11：备用
BIT 12：备用
BIT 13：备用
BIR 14：备用
BIT 15：备用                                                                           "
11\12#灭菌线线传感器信号--1,DB1000.DBW1640,WORD ,"BIT 0：SP_07001-1
BIT 1：SP_07001-2
BIT 2：SP_07002-1
BIT 3：SP_07002-2
BIT 4：SP_07003-1
BIT 5：SP_07003-2
BIT 6：SP_07004-1
BIT 7：SP_07004-2
BIT 8：SP_07009
BIR 9：SP_07011
BIT 10：SP_07014
BIT 11：SP_07016
BIT 12：SP_07018
BIT 13：SP_07021
BIR 14：SP_07023-1
BIT 15：SP_07023-2                                                                         "
11\12#灭菌线线传感器信号--2,DB1000.DBW1642,WORD ,"BIT 0：SP_07025-1
BIT 1：SP_07025-2
BIT 2：SP_07028-1
BIT 3：SP_07028-2
BIT 4：SP_07030-1
BIT 5：SP_07030-2
BIT 6：SP_07032-1
BIT 7：SP_07032-2
BIT 8：SP_07035-1
BIR 9：SP_07035-2
BIT 10：备用
BIT 11：备用
BIT 12：备用
BIT 13：备用
BIR 14：备用
BIT 15：备用                                                                         "
11\12#灭菌线线传感器信号--3,DB1000.DBW1644,WORD ,"BIT 0：备用
BIT 1：备用
BIT 2：备用
BIT 3：备用
BIT 4：备用
BIT 5：备用
BIT 6：备用
BIT 7：备用
BIT 8：备用
BIR 9：备用
BIT 10：备用
BIT 11：备用
BIT 12：备用
BIT 13：备用
BIR 14：备用
BIT 15：备用                                                                          "
13\14#灭菌线线传感器信号--1,DB1000.DBW1646,WORD ,"BIT 0：SP_08001-1
BIT 1：SP_08001-2
BIT 2：SP_08002-1
BIT 3：SP_08002-2
BIT 4：SP_08003-1
BIT 5：SP_08003-2
BIT 6：SP_08004-1
BIT 7：SP_08004-2
BIT 8：SP_08009
BIR 9：SP_08011
BIT 10：SP_08014
BIT 11：SP_08016
BIT 12：SP_08018
BIT 13：SP_08021
BIR 14：SP_08023-1
BIT 15：SP_08023-2                                                                            "
13\14#灭菌线线传感器信号--2,DB1000.DBW1648,WORD ,"BIT 0：SP_08025-1
BIT 1：SP_08025-2
BIT 2：SP_08028-1
BIT 3：SP_08028-2
BIT 4：SP_08030-1
BIT 5：SP_08030-2
BIT 6：SP_08032-1
BIT 7：SP_08032-2
BIT 8：SP_08035-1
BIR 9：SP_08035-2
BIT 10：备用
BIT 11：备用
BIT 12：备用
BIT 13：备用
BIR 14：备用
BIT 15：备用                                                                           "
13\14#灭菌线线传感器信号--3,DB1000.DBW1650,WORD ,"BIT 0：备用
BIT 1：备用
BIT 2：备用
BIT 3：备用
BIT 4：备用
BIT 5：备用
BIT 6：备用
BIT 7：备用
BIT 8：备用
BIR 9：备用
BIT 10：备用
BIT 11：备用
BIT 12：备用
BIT 13：备用
BIR 14：备用
BIT 15：备用                                                                          "
15#灭菌线和出口线传感器信号--1,DB1000.DBW1652,WORD ,"BIT 0：SP_09001-1
BIT 1：SP_09001-2
BIT 2：SP_09002-1
BIT 3：SP_09002-2
BIT 4：SP_09005
BIT 5：SP_09007
BIT 6：SP_09010
BIT 7：SP_09012-1
BIT 8：SP_09012-2
BIR 9：SP_09014-1
BIT 10：SP_09014-2
BIT 11：SP_09017-1
BIT 12：SP_09017-2
BIT 13：SP_09020-1
BIR 14：SP_09020-2
BIT 15：SP_09021                                                                          "
15#灭菌线和出口线传感器信号--2,DB1000.DBW1654,WORD ,"BIT 0：SP_009023-1
BIT 1：SP_09023-2
BIT 2：SP_09024
BIT 3：SP_09025-1
BIT 4：SP_09025-2
BIT 5：SP_09026-1
BIT 6：SP_09026-2
BIT 7：SP_09027-1
BIT 8：SP_09027-2
BIR 9：SP_09028-1
BIT 10：SP_09028-2
BIT 11：SP_09029-1
BIT 12：SP_09029-2
BIT 13：SP_09030-1
BIR 14：SP_09030-2
BIT 15：SP_09031-1                                                                           "
15#灭菌线和出口线传感器信号--3,DB1000.DBW1656,WORD ,"BIT 0：SP_09031-2
BIT 1：SP_09032-1
BIT 2：SP_09032-2
BIT 3：SP_09033-1
BIT 4：SP_09033-2
BIT 5：SP_09035-1
BIT 6：SP_09035-2
BIT 7：SP_09036
BIT 8：SP_09038-1
BIR 9：SP_09038-2
BIT 10：SP_09039
BIT 11：备用
BIT 12：备用
BIT 13：备用
BIR 14：备用
BIT 15：备用                                                                           "
上货请求读码、指定托盘ID和目的地,DB1000.DBW1658,WORD ,"BIT 0：01001处请求写虚拟ID                           BIT1：01002处请求读码
BIT2：01006处请求读码                                        
BIT3：请求写目的地
                                                                             "
灭菌出货请求指定托盘ID和目的地1,DB1000.DBW1670,WORD ,"BIT 0：2026（出口链条机）处请求写ID和目的地
BIT 1：2029（出口链条机）处请求写ID和目的地
BIT 2：2033（出口链条机）处请求写ID和目的地
BIT 3：2036（出口链条机）处请求写ID和目的地
BIT 4：3026（出口链条机）处请求写ID和目的地
BIT 5：3029（出口链条机）处请求写ID和目的地
BIT 6：3033（出口链条机）处请求写ID和目的地
BIT 7：3036（出口链条机）处请求写ID和目的地
BIT 8：4026（出口链条机）处请求写ID和目的地
BIR 9：4029（出口链条机）处请求写ID和目的地
BIT 10：4033（出口链条机）处请求写ID和目的地
BIT 11：4036（出口链条机）处请求写ID和目的地
BIT 12：5026（出口链条机）处请求写ID和目的地
BIT 13：5029（出口链条机）处请求写ID和目的地
BIR 14：5033（出口链条机）处请求写ID和目的地
BIT 15：5036（出口链条机）处请求写ID和目的地                                                                             "
灭菌出货请求指定托盘ID和目的地2,DB1000.DBW1672,WORD ,"BIT 0：6026（出口链条机）处请求写ID和目的地
BIT 1：6029（出口链条机）处请求写ID和目的地
BIT 2：6033（出口链条机）处请求写ID和目的地
BIT 3：6036（出口链条机）处请求写ID和目的地
BIT 4：7026（出口链条机）处请求写ID和目的地
BIT 5：7029（出口链条机）处请求写ID和目的地
BIT 6：7033（出口链条机）处请求写ID和目的地
BIT 7：7036（出口链条机）处请求写ID和目的地
BIT 8：8026（出口链条机）处请求写ID和目的地
BIR 9：8029（出口链条机）处请求写ID和目的地
BIT 10：8033（出口链条机）处请求写ID和目的地
BIT 11：8036（出口链条机）处请求写ID和目的地
BIT 12：9015（出口链条机）处请求写ID和目的地
BIT 13：9018（出口链条机）处请求写ID和目的地
BIR 14：备用
BIT 15：备用                                                                                 "
