名称,PLC地址,数剧类型,功能
5\6#灭菌线线电机运行信号--2,DB1000.DBW24,WORD ,"BIT 0：04017电机运行（升降电机）
BIT 1：04018电机运行（滚筒电机）
BIT 2: 04019电机运行（链条电机）
BIT 3: 04020电机运行（升降电机）
BIT 4: 04021电机运行（滚筒电机）
BIT 5: 04022电机运行（链条电机）
BIT 6: 04023电机运行
BIT 7: 04024电机运行（升降电机）
BIT 8: 04025电机运行（滚筒电机）
BIT 9: 04026电机运行（链条电机）
BIT 10: 04027电机运行（升降电机）
BIT 11: 04028电机运行（滚筒电机）
BIT 12: 04029电机运行（链条电机）
BIT 13: 04030电机运行
BIT 14: 04031电机运行（升降电机）
BIT 15: 04032电机运行（滚筒电机）                                                                          "
5\6#灭菌线线电机运行信号--3,DB1000.DBW26,WORD ,"BIT 0：04033电机运行（链条电机）
BIT 1: 04034电机运行(升降电机)
BIT 2: 04035电机运行（滚筒电机）
BIT 3: 04036电机运行（链条电机）
BIT 4: 备用
BIT 5: 备用
BIT 6: 备用
BIT 7: 备用
BIT 8: 备用
BIT 9: 备用 
BIT 10: 备用
BIT 11: 备用
BIT 12: 备用
BIT 13: 备用
BIT 14: 备用
BIT 15: 备用                                                                        "
7\8#灭菌线线电机运行信号--1,DB1000.DBW28,WORD ,"BIT 0：05001电机运行
BIT 1: 05002电机运行
BIT 2: 05003电机运行
BIT 3: 05004电机运行
BIT 4: 05005电机运行
BIT 5: 05006电机运行
BIT 6: 05007电机运行
BIT 7: 05008电机运行
BIT 8: 05009电机运行
BIT 9: 05010电机运行（升降电机）
BIT 10: 05011电机运行（滚筒电机）
BIT 11: 05012电机运行（链条电机）
BIT 12: 05013电机运行（升降电机）
BIT 13: 05014电机运行（滚筒电机）
BIT 14: 05015电机运行（链条电机）
BIT 15: 05016电机运行                                                                           "
7\8#灭菌线线电机运行信号--2,DB1000.DBW30,WORD ,"BIT 0：05017电机运行（升降电机）
BIT 1：05018电机运行（滚筒电机）
BIT 2: 05019电机运行（链条电机）
BIT 3: 05020电机运行（升降电机）
BIT 4: 05021电机运行（滚筒电机）
BIT 5: 05022电机运行（链条电机）
BIT 6: 05023电机运行
BIT 7: 05024电机运行（升降电机）
BIT 8: 05025电机运行（滚筒电机）
BIT 9: 05026电机运行（链条电机）
BIT 10: 05027电机运行（升降电机）
BIT 11: 05028电机运行（滚筒电机）
BIT 12: 05029电机运行（链条电机）
BIT 13: 05030电机运行
BIT 14: 05031电机运行（升降电机）
BIT 15: 05032电机运行（滚筒电机）                                                                          "
7\8#灭菌线线电机运行信号--3,DB1000.DBW32,WORD ,"BIT 0：05033电机运行（链条电机）
BIT 1: 05034电机运行(升降电机)
BIT 2: 05035电机运行（滚筒电机）
BIT 3: 05036电机运行（链条电机）
BIT 4: 备用
BIT 5: 备用
BIT 6: 备用
BIT 7: 备用
BIT 8: 备用
BIT 9: 备用 
BIT 10: 备用
BIT 11: 备用
BIT 12: 备用
BIT 13: 备用
BIT 14: 备用
BIT 15: 备用                                                                        "
9\10#灭菌线线电机运行信号--1,DB1000.DBW34,WORD ,"BIT 0: 06001电机运行
BIT 1: 06002电机运行
BIT 2: 06003电机运行
BIT 3: 06004电机运行
BIT 4: 06005电机运行
BIT 5: 06006电机运行
BIT 6: 06007电机运行
BIT 7: 06008电机运行
BIT 8: 06009电机运行
BIT 9: 06010电机运行（升降电机）
BIT 10: 06011电机运行（滚筒电机）
BIT 11: 06012电机运行（链条电机）
BIT 12: 06013电机运行（升降电机）
BIT 13: 06014电机运行（滚筒电机）
BIT 14: 06015电机运行（链条电机）
BIT 15: 06016电机运行                                                                          "
9\10#灭菌线线电机运行信号--2,DB1000.DBW36,WORD ,"BIT 0: 06017电机运行（升降电机）
BIT 1: 06018电机运行（滚筒电机）
BIT 2: 06019电机运行（链条电机）
BIT 3: 06020电机运行（升降电机）
BIT 4: 06021电机运行（滚筒电机）
BIT 5: 06022电机运行（链条电机）
BIT 6: 06023电机运行
BIT 7: 06024电机运行（升降电机）
BIT 8: 06025电机运行（滚筒电机）
BIT 9: 06026电机运行（链条电机）
BIT 10: 06027电机运行（升降电机）
BIT 11: 06028电机运行（滚筒电机）
BIT 12: 06029电机运行（链条电机）
BIT 13: 06030电机运行
BIT 14: 06031电机运行（升降电机）
BIT 15: 06032电机运行（滚筒电机）                                                                           "
9\10#灭菌线线电机运行信号--3,DB1000.DBW38,WORD ,"BIT 0：06033电机运行（链条电机）
BIT 1: 06034电机运行(升降电机)
BIT 2: 06035电机运行（滚筒电机）
BIT 3: 06036电机运行（链条电机）
BIT 4: 备用
BIT 5: 备用
BIT 6: 备用
BIT 7: 备用
BIT 8: 备用
BIT 9: 备用 
BIT 10: 备用
BIT 11: 备用
BIT 12: 备用
BIT 13: 备用
BIT 14: 备用
BIT 15: 备用                                                                         "
11\12#灭菌线线电机运行信号--1,DB1000.DBW40,WORD ,"BIT 0：07001电机运行
BIT 1: 07002电机运行
BIT 2: 07003电机运行
BIT 3: 07004电机运行
BIT 4: 07005电机运行
BIT 5: 07006电机运行
BIT 6: 07007电机运行
BIT 7: 07008电机运行
BIT 8: 07009电机运行
BIT 9: 07010电机运行（升降电机）
BIT 10: 07011电机运行（滚筒电机）
BIT 11: 07012电机运行（链条电机）
BIT 12: 07013电机运行（升降电机）
BIT 13: 07014电机运行（滚筒电机）
BIT 14: 07015电机运行（链条电机）
BIT 15: 07016电机运行                                                                          "
11\12#灭菌线线电机运行信号--2,DB1000.DBW42,WORD ,"BIT 0: 07017电机运行（升降电机）
BIT 1: 07018电机运行（滚筒电机）
BIT 2: 07019电机运行（链条电机）
BIT 3: 07020电机运行（升降电机）
BIT 4: 07021电机运行（滚筒电机）
BIT 5: 07022电机运行（链条电机）
BIT 6: 07023电机运行
BIT 7: 07024电机运行（升降电机）
BIT 8: 07025电机运行（滚筒电机）
BIT 9: 07026电机运行（链条电机）
BIT 10: 07027电机运行（升降电机）
BIT 11: 07028电机运行（滚筒电机）
BIT 12: 07029电机运行（链条电机）
BIT 13: 07030电机运行
BIT 14: 07031电机运行（升降电机）
BIT 15: 07032电机运行（滚筒电机）                                                                          "
11\12#灭菌线线电机运行信号--3,DB1000.DBW44,WORD ,"BIT 0：07033电机运行（链条电机）
BIT 1: 07034电机运行(升降电机)
BIT 2: 07035电机运行（滚筒电机）
BIT 3: 07036电机运行（链条电机）
BIT 4: 备用
BIT 5: 备用
BIT 6: 备用
BIT 7: 备用
BIT 8: 备用
BIT 9: 备用 
BIT 10: 备用
BIT 11: 备用
BIT 12: 备用
BIT 13: 备用
BIT 14: 备用
BIT 15: 备用                                                                        "
13\14#灭菌线线电机运行信号--1,DB1000.DBW46,WORD ,"BIT 0：08001电机运行
BIT 1: 08002电机运行
BIT 2: 08003电机运行
BIT 3: 08004电机运行
BIT 4: 08005电机运行
BIT 5: 08006电机运行
BIT 6: 08007电机运行
BIT 7: 08008电机运行
BIT 8: 08009电机运行
BIT 9: 08010电机运行（升降电机）
BIT 10: 08011电机运行（滚筒电机）
BIT 11: 08012电机运行（链条电机）
BIT 12: 08013电机运行（升降电机）
BIT 13: 08014电机运行（滚筒电机）
BIT 14: 08015电机运行（链条电机）
BIT 15: 08016电机运行                                                                       "
13\14#灭菌线线电机运行信号--2,DB1000.DBW48,WORD ,"BIT 0: 08017电机运行（升降电机）
BIT 1: 08018电机运行（滚筒电机）
BIT 2: 08019电机运行（链条电机）
BIT 3: 08020电机运行（升降电机）
BIT 4: 08021电机运行（滚筒电机）
BIT 5: 08022电机运行（链条电机）
BIT 6: 08023电机运行
BIT 7: 08024电机运行（升降电机）
BIT 8: 08025电机运行（滚筒电机）
BIT 9: 08026电机运行（链条电机）
BIT 10: 08027电机运行（升降电机）
BIT 11: 08028电机运行（滚筒电机）
BIT 12: 08029电机运行（链条电机）
BIT 13: 08030电机运行
BIT 14: 08031电机运行（升降电机）
BIT 15: 08032电机运行（滚筒电机）                                                                          "
13\14#灭菌线线电机运行信号--3,DB1000.DBW50,WORD ,"BIT 0：08033电机运行（链条电机）
BIT 1: 08034电机运行(升降电机)
BIT 2: 08035电机运行（滚筒电机）
BIT 3: 08036电机运行（链条电机）
BIT 4: 备用
BIT 5: 备用
BIT 6: 备用
BIT 7: 备用
BIT 8: 备用
BIT 9: 备用 
BIT 10: 备用
BIT 11: 备用
BIT 12: 备用
BIT 13: 备用
BIT 14: 备用
BIT 15: 备用                                                                         "
15#灭菌线和出口线电机运行信号--1,DB1000.DBW52,WORD ,"BIT 0：09001电机运行
BIT 1: 09002电机运行
BIT 2: 09003电机运行
BIT 3: 09004电机运行
BIT 4: 09005电机运行
BIT 5: 09006电机运行（升降电机）
BIT 6: 09007电机运行（滚筒电机）
BIT 7: 09008电机运行（链条电机）
BIT 8: 09009电机运行（升降电机）
BIT 9: 09010电机运行（滚筒电机）
BIT 10: 09011电机运行（链条电机）
BIT 11: 09012电机运行
BIT 12: 09013电机运行（升降电机）
BIT 13: 09014电机运行（链条电机）
BIT 14: 09015电机运行（滚筒电机）
BIT 15: 09016电机运行                                                                         "
15#灭菌线和出口线电机运行信号--2,DB1000.DBW54,WORD ,"BIT 0: 09017电机运行（滚筒电机）
BIT 1: 09018电机运行（链条电机）
BIT 2: 09019电机运行（升降电机）
BIT 3: 09020电机运行（滚筒电机）
BIT 4: 09021电机运行（链条电机）
BIT 5: 09022电机运行（升降电机）
BIT 6: 09023电机运行（滚筒电机）
BIT 7: 09024电机运行（链条电机）
BIT 8: 09025电机运行
BIT 9: 09026电机运行
BIT 10: 09027电机运行
BIT 11: 09028电机运行
BIT 12: 09029电机运行
BIT 13: 09030电机运行
BIT 14: 09031电机运行
BIT 15: 09032电机运行                                                                         "
15#灭菌线和出口线电机运行信号--3,DB1000.DBW56,WORD ,"BIT 0：09033电机运行
BIT 1: 09034电机运行(升降电机)
BIT 2: 09035电机运行（滚筒电机）
BIT 3: 09036电机运行（链条电机）
BIT 4: 09037电机运行（升降电机）
BIT 5: 09038电机运行（滚筒电机）
BIT 6: 09039电机运行（链条电机）
BIT 7: 备用
BIT 8: 备用
BIT 9: 备用 
BIT 10: 备用
BIT 11: 备用
BIT 12: 备用
BIT 13: 备用
BIT 14: 备用
BIT 15: 备用                                                                            "
RGV小车位置值,DB1000.DBW58,WORD,原点为起始位0-终点:
"RGV电机运行信号
",DB1000.DBW60,WORD ,"BIT 0：11001运行信号
BIT 1：11002运行信号
BIT 2：11003运行信号
BIT 3：11001原位信号
BIT 4：11002-1进货光电
BIT 5：11002-2到位光电
BIT 6：11002-3进口安全
BIT 7：11002-4出口安全
BIT 8：11003-1进货光电
BIT 9：11003-2到位光电"
缓存线各个电机占位虚拟ID码（1013到1024每个工位两个）,DB1000.DBW62-118,INT,"DBW62: 01001电机
DBW64: 01002电机
DBW66: 01004电机
DBW68: 01005电机
DBW70: 01006电机
DBW72: 01008电机
DBW74: 01009电机
DBW76: 01011电机
DBW78: 01012电机
DBW80: 01013A电机
DBW82: 01013B电机
DBW84: 01014A电机
DBW86: 01014B电机
DBW88: 01015A电机
DBW90: 01015B电机
DBW92: 01016A电机
DBW94: 01016B电机
DBW96: 01017A电机
DBW98：01017B电机
DBW100：01018A电机
DBW102: 01018B电机
DBW104：01019A电机
DBW106: 01019B电机
DBW108: 01020A电机
DBW110: 01020B电机
DBW112: 01021A电机
DBW114: 01021B电机
DBW116: 01022A电机
DBW118: 01022B电机"
缓存线各个电机占位虚拟ID码（1013到1024每个工位两个）,DB1000.DBW1800-1898,INT,DBW1800： 01023A电机                                                                                                                                                                            DBW1802： 01023B电机                                                                                                                                                                            DBW1804： 01024A电机                                                                                                                                                                                                                                                                                                                                                         DBW1806： 01024B电机                                                                                                                                                                                DBW1808： 01026电机                                                                                                                                                                                DBW1810： 01027电机                                                                                                                                                                              DBW1812： 01029电机                                                                                                                                                                               DBW1814： 01030电机                                                                                                                                                                               DBW1816： 备用                                                                                                                                                                                DBW1818： 备用                                                                                                                                                                                DBW1820： 备用                                                                                                                                                                                DBW1822： 备用                                                                                                                                                                                DBW1824： 备用                                                                                                                                                                                DBW1826： 备用                                                                                                                                                                                DBW1828： 备用                                                                                                                                                                                DBW1830： 备用                                                                                                                                                                                DBW1832： 备用                                                                                                                                                                                DBW1834： 备用                                                                                                                                                                                DBW1836： 备用                                                                                                                                                                                DBW1838： 备用                                                                                                                                                                                DBW1840： 备用                                                                                                                                                                                DBW1842： 备用                                                                                                                                                                                DBW1844： 备用                                                                                                                                                                                DBW1846： 备用                                                                                                                                                                                DBW1848： 备用                                                                                                                                                                                DBW1850： 备用                                                                                                                                                                                DBW1852： 备用                                                                                                                                                                                DBW1854： 备用                                                                                                                                                                                DBW1856： 备用                                                                                                                                                                                DBW1858： 备用                                                                                                                                                                                DBW1860： 备用                                                                                                                                                                                DBW1862： 备用                                                                                                                                                                                DBW1864： 备用                                                                                                                                                                                DBW1866： 备用                                                                                                                                                                                DBW1868： 备用                                                                                                                                                                                DBW1870： 备用                                                                                                                                                                                DBW1872： 备用                                                                                                                                                                                DBW1874： 备用                                                                                                                                                                                DBW1876： 备用                                                                                                                                                                                DBW1878： 备用                                                                                                                                                                                DBW1880： 备用                                                                                                                                                                                DBW1882： 备用                                                                                                                                                                                DBW1884： 备用                                                                                                                                                                                DBW1886： 备用                                                                                                                                                                                DBW1888： 备用                                                                                                                                                                                DBW1890： 备用                                                                                                                                                                                DBW1892： 备用                                                                                                                                                                                DBW1894： 备用                                                                                                                                                                                DBW1896： 备用                                                                                                                                                                                DBW1898： 备用                                                                                                                                                                                
1\2#预热灭菌线占位虚拟ID码,DB1000.DBW120-198,INT,"DBW120：02009电机
DBW122：02011电机
DBW124：02012电机
DBW126：02014电机
DBW128：02015电机
DBW130：02016电机
DBW132：02018电机
DBW134：02019电机
DBW136：02021电机
DBW138：02022电机
DBW140：02023电机
DBW142：02025电机
DBW144：02026电机
DBW146：02028电机
DBW148：02029电机
DBW150：02030电机
DBW152：02032电机
DBW154：02033电机
DBW156：02035电机
DBW158：02036电机
DBW160：备用
DBW126：备用
DBW164：备用
DBW166：备用
DBW168：备用
DBW170：备用
DBW172：备用
DBW174：备用
DBW176：备用
DBW178：备用
DBW180：备用
DBW182：备用
DBW184：备用
DBW186：备用
DBW188：备用
DBW190：备用"
3\4#灭菌线线占位虚拟ID码,DB1000.DBW200-278,INT,"DBW200: 03009电机
DBW202：03011电机
DBW204：03012电机
DBW206：03014电机
DBW208：03015电机
DBW210：03016电机
DBW212：03018电机
DBW214：03019电机
DBW216：03021电机
DBW218：03022电机
DBW220：03023电机
DBW222：03025电机
DBW224：03026电机
DBW226：03028电机
DBW228：03029电机
DBW230：03030电机
DBW232：03032电机
DBW234：03033电机
DBW236：03035电机
DBW238：03036电机
DBW240：备用
DBW242：备用
DBW244：备用
DBW246：备用
DBW248：备用
DBW250：备用
DBW252：备用
DBW254：备用
DBW256：备用
DBW258：备用
DBW260：备用
DBW262：备用
DBW264：备用
DBW266：备用
DBW268：备用
DBW270：备用"
5\6#灭菌线线占位虚拟ID码,DB1000.DBW280-358,INT,"DBW280：04009电机
DBW282：04011电机
DBW284：04012电机
DBW286：04014电机
DBW288：04015电机
DBW290：04016电机
DBW292：04018电机
DBW294：04019电机
DBW296：04021电机
DBW298：04022电机
DBW300：04023电机
DBW302：04025电机
DBW304：04026电机
DBW306：04028电机
DBW308：04029电机
DBW310：04030电机
DBW312：04032电机
DBW314：04033电机
DBW316：04035电机
DBW318：04036电机
DBW320：备用
DBW322：备用
DBW324：备用
DBW326：备用
DBW328：备用
DBW330：备用
DBW332：备用
DBW334：备用
DBW336：备用
DBW338：备用
DBW340：备用
DBW342：备用
DBW344：备用
DBW346：备用
DBW348：备用
DBW350：备用"
7\8#灭菌线线占位虚拟ID码,DB1000.DBW360-438,INT,"DBW360：05009电机
DBW362：05011电机
DBW364：05012电机
DBW366：05014电机
DBW368：05015电机
DBW370：05016电机
DBW372：05018电机
DBW374：05019电机
DBW376：05021电机
DBW378：05022电机
DBW380：05023电机
DBW382：05025电机
DBW384：05026电机
DBW366：05028电机
DBW388：05029电机
DBW390：05030电机
DBW392：05032电机
DBW394：05033电机
DBW396：05035电机
DWB398：05036电机
DBW400：备用
DBW402：备用
DBW404：备用
DBW406：备用
DBW408：备用
DBW410：备用
DBW412：备用
DBW414：备用
DBW416：备用
DBW418：备用
DBW420：备用
DBW422：备用
DBW424：备用
DBW426：备用
DBW428：备用
DBW430：备用"
9\10#灭菌线线占位虚拟ID码,DB1000.DBW440-518,INT,"DBW440：06009电机
DBW442：06011电机
DBW444：06012电机
DBW446：06014电机
DBW448：06015电机
DBW450：06016电机
DBW452：06018电机
DBW454：06019电机
DBW456：06021电机
DBW458：06022电机
DBW460：06023电机
DBW462：06025电机
DBW464：06026电机
DBW466：06028电机
DBW468：06029电机
DBW470：06030电机
DVW472：06032电机
DVW474：06033电机
DVW476：06035电机
DBW478：06036电机
DBW480：备用
DBW482：备用
DBW484：备用
DBW486：备用
DBW488：备用
DBW490：备用
DBW492：备用
DBW494：备用
DBW496：备用
DBW498：备用
DBW500：备用
DBW502：备用
DBW504：备用
DBW506：备用
DBW508：备用
DBW510：备用"
11\12#灭菌线线占位虚拟ID码,DB1000.DBW520-598,INT,"DBW520：07009电机
DBW522：07011电机
DBW524：07012电机
DBW526：07014电机
DBW528：07015电机
DBW530：07016电机
DBW532：07018电机
DBW534：07019电机
DVW536：07021电机
DBW538：07022电机
DBW540：07023电机
DBW524：07025电机
DBW544：07026电机
DBW546：07028电机
DBW548：07029电机
DBW550：07030电机
DBW552：07032电机
DBW554：07033电机
DBW556：07035电机
DBW558：07036电机
DBW560：备用
DBW562：备用
DBW564：备用
DBW566：备用
DBW568：备用
DBW570：备用
DBW572：备用
DBW574：备用
DBW576：备用
DBW578：备用
DBW580：备用
DBW582：备用
DBW584：备用
DBW586：备用
DBW588：备用
DBW590：备用"
13\14#灭菌线线占位虚拟ID码,DB1000.DBW600-678,INT,"DBW600：08009电机
DBW602：08011电机
DBW604：08012电机
DBW606：08014电机
DBW608：08015电机
DBW610：08016电机
DBW612：08018电机
DBW614：08019电机
DBW616：08021电机
DBW618：08022电机
DBW620：08023电机
DBW622：08025电机
DBW624：08026电机
DBW626：08028电机
DBW628：08029电机
DBW630：08030电机
DBW632：08032电机
DBW634：08033电机
DBW636：08035电机
DBW638：08036电机
DBW640：备用
DBW642：备用
DBW644：备用
DBW646：备用
DBW648：备用
DBW650：备用
DBW652：备用
DBW654：备用
DBW656：备用
DBW658：备用
DBW660：备用
DBW662：备用
DBW664：备用
DBW666：备用
DBW668：备用
DBW670：备用"
15#灭菌线和出口线占位虚拟ID码,DB1000.DBW680-758,INT,"DBW680：09005电机
DBW682：09007电机
DBW684：09008电机
DBW686：09010电机
DBW688：09011电机
DBW690：09012电机
DBW692：09014电机
DBW694：09015电机
DBW696：09017电机
DBW698：09018电机
DBW700：09020电机
DBW702：09021电机
DBW704：09023电机
DBW706：09024电机
DBW708：09025电机
DBW710：09026电机
DBW712：09027电机
DBW714：09028电机
DBW716：09029电机
DBW718：09030电机
DBW720：09031电机
DBW722：09032电机
DBW724：09033电机
DBW726：09035电机
DBW728：09036电机
DBW730：09038电机
DBW732：09039电机
DBW734：备用
DBW736：备用
DBW738：备用
DBW740：备用
DBW742：备用
DBW744：备用
DBW746：备用
DBW748：备用
DBW750：备用
DBW752：备用
DBW754：备用
DBW756：备用"
缓存线各个电机货物目的地,DB1000.DBW800-858,INT,"DBW800：01001电机
DBW802：01002电机
DBW804：01004电机
DBW806：01005电机
DBW808：01006电机
DBW810：01008电机
DBW812：01009电机
DBW814：01011电机
DBW816：01012电机
DBW818：01013A电机
DBW820：01013B电机
DBW822：01014A电机
DBW824：01014B电机
DBW826：01015A电机
DBW828：01015B电机
DBW830：01016A电机
DBW832：01016B电机
DBW834：01017A电机
DBW836：01017B电机
DBW838：01018A电机
DBW840：01018B电机
DBW842：01019A电机
DBW844：01019B电机
DBW846：01020A电机
DBW848：01020B电机"
